day,mean_S,sd_S,mean_I,sd_I,mean_R,sd_R
598,4193.0,332.43646009425623,314.6,40.86122856694351,995004.5,308.3323693678625
599,4208.6,324.74088131924503,315.5,40.77560545227992,994996.3,313.4086948379066
600,4226.3,323.1133082991166,313.2,40.752423240833174,994981.2,323.21565556142235
601,4245.3,325.6872886681333,315.7,36.570616620450906,994965.9,325.5347754080968
602,4266.1,324.097037937714,317.8,36.62731221370195,994947.0,325.6212523776665
603,4291.3,318.2178656203954,319.2,38.1308274234903,994927.9,328.6689671995213
604,4310.2,320.62495224171187,311.8,37.72744359216511,994913.6,326.24567430082504
605,4329.4,313.62436129867206,309.6,38.03997896949997,994899.0,331.62358179116274
606,4355.0,314.6054672125073,312.6,40.420786731581565,994879.8,334.6454242926385
607,4372.9,308.1540037059392,313.8,46.03433501203205,994858.1,334.0890450164447
608,4387.7,306.9778656515808,312.9,42.15317307154943,994839.4,336.7082416573732
609,4403.9,302.6362337857118,315.6,38.89267283178157,994817.0,337.17977400787254
610,4414.4,297.1141868036597,313.8,36.35876785591063,994791.7,344.5521876291022
611,4433.2,293.1077617532501,312.9,31.589396955307645,994770.7,339.789361222508
612,4446.2,287.14484149989534,312.3,34.5920511100455,994760.2,336.44904517623473
613,4459.4,283.4717622621343,309.5,43.45629988850869,994740.8,336.98391653015136
614,4472.5,274.1894418098553,307.0,46.44566718220334,994718.0,334.20053859920694
615,4487.7,268.4973184223634,314.4,51.227336452327876,994696.0,338.3805549968851
616,4504.6,267.2969135624278,317.8,56.26864135555434,994675.3,348.8303455836376
617,4518.2,267.70760168512214,319.4,60.40066224802506,994658.6,349.43789147715506
618,4527.6,263.6259471296405,323.7,56.56686309138947,994639.6,357.13224441374655
619,4533.9,250.60744202836437,331.2,50.57825619769824,994619.5,363.4826680874894
620,4547.0,245.12609000267597,330.9,45.68468014553675,994607.0,367.5105440664254
621,4555.0,239.5028183550248,330.0,47.146579939588406,994592.4,368.35857530400995
622,4563.3,237.39589297205632,328.2,43.48057037344381,994571.8,369.4701070452115
623,4574.4,228.15617458223656,327.9,44.9587588796666,994555.6,363.83188425425277
624,4588.5,216.71790419806112,326.4,51.26441260757798,994539.7,362.72580553360143
625,4602.5,210.04725658765457,331.2,57.2656965381545,994525.5,364.29802360155617
626,4607.5,208.10634300760753,337.6,61.660684394515116,994517.9,368.29348351552466
627,4610.0,211.59395076419364,342.1,65.20345082892469,994502.8,375.39413953869877
628,4617.4,210.27229964976368,348.9,68.78873454280141,994486.2,380.20831132420034
629,4617.5,211.17587456904258,356.0,62.29446203315348,994469.2,381.8761055630478
630,4620.3,212.81496657895093,353.7,56.843733163823785,994457.3,386.2193806633738
631,4630.5,211.03755589941804,344.7,54.46843122396679,994452.2,389.4433976844389
632,4637.8,211.209753562661,341.5,53.57844715928225,994442.5,387.6390718181024
633,4638.9,209.35971436740166,345.2,56.96630583072769,994437.2,390.76202476699297
634,4645.8,202.39258879711974,346.3,67.80125367572491,994427.4,394.4911152358187
635,4649.6,206.96144568493912,351.1,69.29422775383243,994411.9,396.8771724349991
636,4650.0,211.7682695778572,366.9,72.89643338325958,994398.8,404.14175730800207
637,4653.8,218.60411707010462,375.8,74.42553325304428,994378.8,412.54134338269665
638,4664.1,231.1040674674507,376.7,69.94433501006354,994372.1,418.2631826972104
639,4662.8,244.12324756155448,377.0,62.83152075192833,994365.3,421.38724470491513
640,4661.4,250.93831911447882,381.4,65.47854610481207,994358.5,433.4499394393775
641,4658.3,251.02671172606313,377.2,55.490179311297965,994357.2,443.614652598401
642,4658.6,255.1623796722393,378.2,56.98385736329193,994350.9,451.681181808585
643,4649.9,258.82521129132687,380.5,58.32538041024679,994348.1,454.7318880395348
644,4650.5,261.1961906307211,383.1,61.923258958165306,994342.4,459.83697111041425
645,4646.1,269.3040846329665,378.5,62.56716391207132,994337.0,466.3412913307163
646,4646.3,273.11281551769036,382.3,66.75934391529023,994330.9,467.8355373419168
647,4648.9,283.5469802343167,388.0,67.91906948714772,994328.4,472.2332474529933
648,4651.9,293.96613750566576,390.8,59.3511583711725,994319.6,479.30891917426277
649,4656.0,303.02508147016476,394.9,59.80376242344624,994308.2,481.3144086769064
650,4653.9,310.0207896254701,405.6,58.79829929513267,994297.1,494.4260207553806
651,4652.4,312.7232642449231,405.4,62.1903529496336,994292.1,499.1694001038125
652,4643.6,315.7100568559703,407.4,62.467911762760245,994294.5,505.5712116012936
653,4630.2,316.68021725393584,408.9,60.76915335924963,994292.7,508.0988191287203
654,4621.8,326.56570548666,403.3,66.89402065954775,994294.6,515.48776901106
655,4617.8,329.4628355368781,396.4,62.678864061180946,994295.5,519.5827653030843
656,4608.5,323.1687639608754,397.7,59.083077103346604,994290.2,524.6249708124843
657,4597.0,322.6843659057563,395.1,55.54898738951053,994292.1,530.4926860947284
658,4592.3,330.94019097111794,394.0,59.94497476853252,994291.0,531.9945488442528
659,4586.8,336.17965435165763,407.1,52.37069791400531,994286.5,543.1753400146218
660,4582.2,337.4628275825354,419.3,56.95972261168413,994280.8,552.0097462907698
661,4571.1,340.02101405648443,426.2,56.640621465517135,994287.0,557.708167413747
662,4559.9,335.98555028453234,433.4,53.7776905417107,994284.5,562.6773942500267
663,4549.1,335.27584165877505,441.7,48.76279319317137,994282.8,566.8394481685269
664,4542.8,335.40327965003564,441.3,49.795682543770795,994290.8,567.0976635465888
665,4535.8,329.3881600786525,437.3,43.5730421246899,994299.4,572.2742699091057
666,4525.8,325.6399238422709,432.9,37.16301925301549,994306.0,574.5647047983368
667,4511.5,325.24675248186566,428.0,33.654123075783744,994313.6,570.973589581865
668,4494.5,321.31581037975707,427.5,36.66946958983727,994325.3,565.9174939865352
669,4481.6,318.6597558525394,428.2,41.84447394818102,994333.5,565.1504666900665
670,4474.0,315.2402258595816,432.3,43.94098314785412,994340.2,571.3068877582346
671,4468.3,310.98490317055587,437.6,44.569496295111975,994342.1,574.3975017355142
672,4458.5,310.73437209295014,444.0,47.77447016974652,994345.5,571.6599076373993
673,4441.2,312.01051264340435,444.3,46.83599043470736,994352.6,578.559106747098
674,4426.3,303.56055409094245,446.9,42.43689432557477,994361.0,576.9228717948354
675,4417.3,302.72959881716224,450.3,44.35098646028067,994371.1,583.6208443844342
676,4402.3,284.8357596931958,453.1,41.1082716737155,994379.7,583.6670369311599
677,4385.9,277.1751973030776,451.6,45.751939849584524,994389.4,570.2943450534995
678,4369.0,273.4509096711876,448.5,41.4179912598378,994393.5,568.4194314060701
679,4357.1,270.8377558613274,449.8,49.44451435700425,994401.5,571.7164069711486
680,4339.6,268.04932381932997,452.8,50.05157340184222,994412.8,567.2325449055264
681,4332.2,265.28241554991916,453.9,49.2350484919026,994425.1,559.3436242597211
682,4317.0,269.55036635107734,458.4,50.30347900493563,994431.3,557.5926918459388
683,4307.3,267.51375665561574,469.6,57.637140803478445,994437.0,553.6879987863201
684,4295.5,256.82649785409603,474.4,61.16894636986973,994451.5,545.8608339128207
685,4286.9,250.15453223957385,473.5,64.92187612815884,994464.5,546.3001464396655
686,4275.6,243.589490742109,476.4,72.64323781330233,994476.3,546.8873832883695
687,4260.1,239.96893548957541,480.7,81.12342448393066,994482.4,547.1782524918182
688,4250.4,234.40145050745738,481.7,76.26014686584337,994500.5,534.5802559017682
689,4232.0,226.63450752257475,477.2,67.92466415080754,994518.4,523.2319179866611
690,4216.6,225.81859976538692,474.9,66.83180380627175,994530.7,518.5541533919095
691,4204.9,226.71543838036263,473.7,65.90303483148557,994546.9,511.82857481778024
692,4188.3,225.26475534357346,473.0,62.536389406488766,994559.1,504.36285549195634
693,4173.9,219.15220738108025,470.5,61.885781888895934,994573.7,497.14103632671487
694,4161.8,216.6950853157496,474.1,70.42648649478404,994580.5,499.8810358475304
695,4147.8,217.16758505817575,474.7,72.6719340598556,994588.1,497.2314249924275
696,4140.3,207.46279184470646,481.7,80.1723767890163,994600.7,493.81738527516427
697,4126.4,198.26356195730972,479.8,82.586681735011,994617.7,486.61361468828636
698,4111.5,196.7883380691041,477.7,73.95140296167477,994633.5,482.6802772022076
