region,biweek,cases
R3_sw,54,0
R3_sw,55,0
R3_sw,56,0
R3_sw,57,0
R3_sw,58,0
R3_sw,59,0
R3_sw,60,0
R3_sw,61,0
R3_sw,62,0
R3_sw,63,0
R3_sw,64,0
R3_sw,65,0
R3_sw,66,0
R3_sw,67,0
R3_sw,68,0
R3_sw,69,0
R3_sw,70,0
R3_sw,71,0
R3_sw,72,0
R3_sw,73,0
R3_sw,74,0
R3_sw,75,0
R3_sw,76,0
R3_sw,77,0
R3_sw,78,0
R4_se,0,0
R4_se,1,0
R4_se,2,0
R4_se,3,0
R4_se,4,0
R4_se,5,0
R4_se,6,0
R4_se,7,0
R4_se,8,18
R4_se,9,79
R4_se,10,178
R4_se,11,326
R4_se,12,602
R4_se,13,788
R4_se,14,1104
R4_se,15,1498
R4_se,16,1829
R4_se,17,1812
R4_se,18,1661
R4_se,19,1496
R4_se,20,1203
R4_se,21,934
R4_se,22,667
R4_se,23,599
R4_se,24,534
R4_se,25,542
R4_se,26,519
R4_se,27,553
R4_se,28,588
R4_se,29,664
R4_se,30,841
R4_se,31,1242
R4_se,32,1809
R4_se,33,2373
R4_se,34,3071
R4_se,35,3778
R4_se,36,3862
R4_se,37,3296
R4_se,38,2632
R4_se,39,1857
R4_se,40,1182
R4_se,41,987
R4_se,42,907
R4_se,43,658
R4_se,44,429
R4_se,45,215
R4_se,46,195
R4_se,47,255
R4_se,48,256
R4_se,49,244
R4_se,50,185
R4_se,51,170
R4_se,52,195
R4_se,53,76
R4_se,54,31
R4_se,55,17
R4_se,56,1
R4_se,57,0
R4_se,58,0
R4_se,59,0
R4_se,60,0
R4_se,61,1
R4_se,62,4
R4_se,63,0
R4_se,64,0
R4_se,65,0
R4_se,66,0
R4_se,67,0
R4_se,68,0
R4_se,69,0
R4_se,70,0
R4_se,71,0
R4_se,72,0
R4_se,73,0
R4_se,74,0
R4_se,75,0
R4_se,76,0
R4_se,77,0
R4_se,78,0
